time,time_utc,open,high,low,close,volume,complete
2025-08-27 10:00:00+01:00,2025-08-27 09:00:00+00:00,147.917,148.036,147.864,148.036,7963,True
2025-08-27 11:00:00+01:00,2025-08-27 10:00:00+00:00,148.036,148.146,147.965,148.12,8261,True
2025-08-27 12:00:00+01:00,2025-08-27 11:00:00+00:00,148.121,148.184,148.032,148.142,8762,True
2025-08-27 13:00:00+01:00,2025-08-27 12:00:00+00:00,148.142,148.148,147.984,148.07,12449,True
2025-08-27 14:00:00+01:00,2025-08-27 13:00:00+00:00,148.069,148.128,147.918,148.084,15375,True
2025-08-27 15:00:00+01:00,2025-08-27 14:00:00+00:00,148.086,148.094,147.82,147.865,14821,True
2025-08-27 16:00:00+01:00,2025-08-27 15:00:00+00:00,147.866,147.866,147.692,147.748,13265,True
2025-08-27 17:00:00+01:00,2025-08-27 16:00:00+00:00,147.748,147.755,147.342,147.362,11341,True
2025-08-27 18:00:00+01:00,2025-08-27 17:00:00+00:00,147.36,147.43,147.293,147.358,9663,True
2025-08-27 19:00:00+01:00,2025-08-27 18:00:00+00:00,147.358,147.491,147.357,147.41,7165,True
2025-08-27 20:00:00+01:00,2025-08-27 19:00:00+00:00,147.411,147.518,147.411,147.478,6730,True
2025-08-27 21:00:00+01:00,2025-08-27 20:00:00+00:00,147.477,147.52,147.401,147.416,7062,True
2025-08-27 22:00:00+01:00,2025-08-27 21:00:00+00:00,147.414,147.474,147.285,147.407,1023,True
2025-08-27 23:00:00+01:00,2025-08-27 22:00:00+00:00,147.405,147.42,147.206,147.29,3128,True
2025-08-28 00:00:00+01:00,2025-08-27 23:00:00+00:00,147.288,147.344,147.225,147.34,5004,True
2025-08-28 01:00:00+01:00,2025-08-28 00:00:00+00:00,147.34,147.49,147.28,147.296,10246,True
2025-08-28 02:00:00+01:00,2025-08-28 01:00:00+00:00,147.297,147.449,147.194,147.344,10257,True
2025-08-28 03:00:00+01:00,2025-08-28 02:00:00+00:00,147.342,147.369,147.234,147.244,7993,True
2025-08-28 04:00:00+01:00,2025-08-28 03:00:00+00:00,147.242,147.292,147.08,147.098,6080,True
2025-08-28 05:00:00+01:00,2025-08-28 04:00:00+00:00,147.097,147.209,147.084,147.162,5921,True
2025-08-28 06:00:00+01:00,2025-08-28 05:00:00+00:00,147.167,147.208,147.078,147.124,6365,True
2025-08-28 07:00:00+01:00,2025-08-28 06:00:00+00:00,147.126,147.35,147.0,147.306,11884,True
2025-08-28 08:00:00+01:00,2025-08-28 07:00:00+00:00,147.306,147.406,147.155,147.168,13548,True
2025-08-28 09:00:00+01:00,2025-08-28 08:00:00+00:00,147.17,147.371,147.13,147.189,11574,True
2025-08-28 10:00:00+01:00,2025-08-28 09:00:00+00:00,147.188,147.188,147.067,147.14,9061,True
2025-08-28 11:00:00+01:00,2025-08-28 10:00:00+00:00,147.142,147.169,146.908,146.932,10596,True
2025-08-28 12:00:00+01:00,2025-08-28 11:00:00+00:00,146.934,146.969,146.808,146.93,10036,True
2025-08-28 13:00:00+01:00,2025-08-28 12:00:00+00:00,146.928,147.172,146.857,147.104,20357,True
2025-08-28 14:00:00+01:00,2025-08-28 13:00:00+00:00,147.102,147.234,147.024,147.092,20268,True
2025-08-28 15:00:00+01:00,2025-08-28 14:00:00+00:00,147.093,147.119,146.876,146.977,16793,True
2025-08-28 16:00:00+01:00,2025-08-28 15:00:00+00:00,146.976,147.071,146.95,146.993,12144,True
2025-08-28 17:00:00+01:00,2025-08-28 16:00:00+00:00,146.994,146.998,146.832,146.848,8428,True
2025-08-28 18:00:00+01:00,2025-08-28 17:00:00+00:00,146.848,146.854,146.66,146.81,8761,True
2025-08-28 19:00:00+01:00,2025-08-28 18:00:00+00:00,146.81,146.89,146.802,146.822,5465,True
2025-08-28 20:00:00+01:00,2025-08-28 19:00:00+00:00,146.822,146.936,146.808,146.921,5323,True
2025-08-28 21:00:00+01:00,2025-08-28 20:00:00+00:00,146.922,146.998,146.92,146.944,3221,True
2025-08-28 22:00:00+01:00,2025-08-28 21:00:00+00:00,146.9,146.973,146.862,146.956,693,True
2025-08-28 23:00:00+01:00,2025-08-28 22:00:00+00:00,146.962,147.084,146.926,147.034,3755,True
2025-08-29 00:00:00+01:00,2025-08-28 23:00:00+00:00,147.034,147.034,146.797,146.832,4942,True
2025-08-29 01:00:00+01:00,2025-08-29 00:00:00+00:00,146.832,146.979,146.764,146.826,12492,True
2025-08-29 02:00:00+01:00,2025-08-29 01:00:00+00:00,146.826,147.112,146.786,147.004,12559,True
2025-08-29 03:00:00+01:00,2025-08-29 02:00:00+00:00,147.004,147.004,146.826,146.892,7762,True
2025-08-29 04:00:00+01:00,2025-08-29 03:00:00+00:00,146.892,146.995,146.892,146.989,6906,True
2025-08-29 05:00:00+01:00,2025-08-29 04:00:00+00:00,146.99,147.04,146.902,146.906,7153,True
2025-08-29 06:00:00+01:00,2025-08-29 05:00:00+00:00,146.905,147.027,146.904,147.016,6285,True
2025-08-29 07:00:00+01:00,2025-08-29 06:00:00+00:00,147.016,147.174,146.961,147.159,8855,True
2025-08-29 08:00:00+01:00,2025-08-29 07:00:00+00:00,147.16,147.2,146.959,147.006,10366,True
2025-08-29 09:00:00+01:00,2025-08-29 08:00:00+00:00,147.01,147.032,146.868,146.954,9832,True
2025-08-29 10:00:00+01:00,2025-08-29 09:00:00+00:00,146.954,147.116,146.941,147.094,9304,True
2025-08-29 11:00:00+01:00,2025-08-29 10:00:00+00:00,147.094,147.25,147.075,147.2,8222,True
2025-08-29 12:00:00+01:00,2025-08-29 11:00:00+00:00,147.2,147.264,147.174,147.25,8012,True
2025-08-29 13:00:00+01:00,2025-08-29 12:00:00+00:00,147.251,147.41,147.133,147.321,14314,True
2025-08-29 14:00:00+01:00,2025-08-29 13:00:00+00:00,147.322,147.392,147.082,147.108,16362,True
2025-08-29 15:00:00+01:00,2025-08-29 14:00:00+00:00,147.104,147.104,146.808,146.826,21364,True
2025-08-29 16:00:00+01:00,2025-08-29 15:00:00+00:00,146.827,146.974,146.769,146.906,15658,True
2025-08-29 17:00:00+01:00,2025-08-29 16:00:00+00:00,146.906,146.964,146.853,146.915,9848,True
2025-08-29 18:00:00+01:00,2025-08-29 17:00:00+00:00,146.914,147.007,146.882,146.982,6482,True
2025-08-29 19:00:00+01:00,2025-08-29 18:00:00+00:00,146.982,147.028,146.959,147.017,5658,True
2025-08-29 20:00:00+01:00,2025-08-29 19:00:00+00:00,147.016,147.047,146.922,146.962,5156,True
2025-08-29 21:00:00+01:00,2025-08-29 20:00:00+00:00,146.962,147.118,146.924,147.066,4410,True
2025-08-31 22:00:00+01:00,2025-08-31 21:00:00+00:00,147.017,147.053,146.995,147.02,265,True
2025-08-31 23:00:00+01:00,2025-08-31 22:00:00+00:00,147.028,147.158,147.022,147.134,2199,True
2025-09-01 00:00:00+01:00,2025-08-31 23:00:00+00:00,147.128,147.189,147.083,147.122,3804,True
2025-09-01 01:00:00+01:00,2025-09-01 00:00:00+00:00,147.123,147.262,147.12,147.234,8449,True
2025-09-01 02:00:00+01:00,2025-09-01 01:00:00+00:00,147.235,147.38,147.184,147.289,8660,True
2025-09-01 03:00:00+01:00,2025-09-01 02:00:00+00:00,147.29,147.294,146.854,146.896,8899,True
2025-09-01 04:00:00+01:00,2025-09-01 03:00:00+00:00,146.896,147.005,146.842,146.897,7636,True
2025-09-01 05:00:00+01:00,2025-09-01 04:00:00+00:00,146.896,147.063,146.884,147.046,6270,True
2025-09-01 06:00:00+01:00,2025-09-01 05:00:00+00:00,147.044,147.064,146.897,146.916,5761,True
2025-09-01 07:00:00+01:00,2025-09-01 06:00:00+00:00,146.916,146.946,146.788,146.937,10043,True
2025-09-01 08:00:00+01:00,2025-09-01 07:00:00+00:00,146.938,147.204,146.9,147.072,11718,True
2025-09-01 09:00:00+01:00,2025-09-01 08:00:00+00:00,147.076,147.202,146.962,146.99,10752,True
2025-09-01 10:00:00+01:00,2025-09-01 09:00:00+00:00,146.99,147.12,146.94,147.104,8991,True
2025-09-01 11:00:00+01:00,2025-09-01 10:00:00+00:00,147.104,147.146,147.05,147.132,6548,True
2025-09-01 12:00:00+01:00,2025-09-01 11:00:00+00:00,147.132,147.17,147.062,147.159,7559,True
2025-09-01 13:00:00+01:00,2025-09-01 12:00:00+00:00,147.16,147.234,147.151,147.2,7815,True
2025-09-01 14:00:00+01:00,2025-09-01 13:00:00+00:00,147.196,147.276,147.168,147.254,8992,True
2025-09-01 15:00:00+01:00,2025-09-01 14:00:00+00:00,147.254,147.298,147.224,147.293,8794,True
2025-09-01 16:00:00+01:00,2025-09-01 15:00:00+00:00,147.292,147.309,147.256,147.273,6149,True
2025-09-01 17:00:00+01:00,2025-09-01 16:00:00+00:00,147.272,147.287,147.202,147.238,3931,True
2025-09-01 18:00:00+01:00,2025-09-01 17:00:00+00:00,147.24,147.244,147.212,147.221,2911,True
2025-09-01 19:00:00+01:00,2025-09-01 18:00:00+00:00,147.222,147.234,147.212,147.222,2074,True
2025-09-01 20:00:00+01:00,2025-09-01 19:00:00+00:00,147.224,147.224,147.158,147.186,2427,True
2025-09-01 21:00:00+01:00,2025-09-01 20:00:00+00:00,147.188,147.193,147.146,147.18,2271,True
2025-09-01 22:00:00+01:00,2025-09-01 21:00:00+00:00,147.206,147.284,147.177,147.192,1181,True
2025-09-01 23:00:00+01:00,2025-09-01 22:00:00+00:00,147.194,147.204,147.124,147.172,1951,True
2025-09-02 00:00:00+01:00,2025-09-01 23:00:00+00:00,147.171,147.176,147.048,147.094,3700,True
2025-09-02 01:00:00+01:00,2025-09-02 00:00:00+00:00,147.093,147.36,147.09,147.306,11944,True
2025-09-02 02:00:00+01:00,2025-09-02 01:00:00+00:00,147.305,147.587,147.194,147.544,13846,True
2025-09-02 03:00:00+01:00,2025-09-02 02:00:00+00:00,147.544,147.72,147.53,147.666,10379,True
2025-09-02 04:00:00+01:00,2025-09-02 03:00:00+00:00,147.666,147.754,147.573,147.704,6732,True
2025-09-02 05:00:00+01:00,2025-09-02 04:00:00+00:00,147.704,147.864,147.686,147.726,7470,True
2025-09-02 06:00:00+01:00,2025-09-02 05:00:00+00:00,147.726,147.926,147.7,147.919,9598,True
2025-09-02 07:00:00+01:00,2025-09-02 06:00:00+00:00,147.917,148.053,147.908,147.964,11198,True
2025-09-02 08:00:00+01:00,2025-09-02 07:00:00+00:00,147.964,148.742,147.952,148.651,26309,True
2025-09-02 09:00:00+01:00,2025-09-02 08:00:00+00:00,148.649,148.796,148.221,148.44,22184,True
2025-09-02 10:00:00+01:00,2025-09-02 09:00:00+00:00,148.439,148.647,148.372,148.564,16832,True
2025-09-02 11:00:00+01:00,2025-09-02 10:00:00+00:00,148.564,148.709,148.536,148.603,14775,True
2025-09-02 12:00:00+01:00,2025-09-02 11:00:00+00:00,148.604,148.744,148.513,148.622,14808,True
2025-09-02 13:00:00+01:00,2025-09-02 12:00:00+00:00,148.62,148.945,148.534,148.824,22652,True
2025-09-02 14:00:00+01:00,2025-09-02 13:00:00+00:00,148.824,148.848,148.35,148.418,22425,True
2025-09-02 15:00:00+01:00,2025-09-02 14:00:00+00:00,148.398,148.4,147.94,148.084,28522,True
2025-09-02 16:00:00+01:00,2025-09-02 15:00:00+00:00,148.084,148.338,148.074,148.234,18316,True
2025-09-02 17:00:00+01:00,2025-09-02 16:00:00+00:00,148.234,148.336,148.202,148.298,10202,True
2025-09-02 18:00:00+01:00,2025-09-02 17:00:00+00:00,148.298,148.422,148.247,148.381,8276,True
2025-09-02 19:00:00+01:00,2025-09-02 18:00:00+00:00,148.382,148.535,148.368,148.476,8996,True
2025-09-02 20:00:00+01:00,2025-09-02 19:00:00+00:00,148.476,148.485,148.321,148.36,6490,True
2025-09-02 21:00:00+01:00,2025-09-02 20:00:00+00:00,148.358,148.413,148.318,148.338,4702,True
2025-09-02 22:00:00+01:00,2025-09-02 21:00:00+00:00,148.336,148.37,148.329,148.358,466,True
2025-09-02 23:00:00+01:00,2025-09-02 22:00:00+00:00,148.356,148.562,148.316,148.504,2424,True
2025-09-03 00:00:00+01:00,2025-09-02 23:00:00+00:00,148.502,148.592,148.45,148.584,3931,True
2025-09-03 01:00:00+01:00,2025-09-03 00:00:00+00:00,148.583,148.768,148.511,148.758,9844,True
2025-09-03 02:00:00+01:00,2025-09-03 01:00:00+00:00,148.758,148.902,148.724,148.868,8009,True
2025-09-03 03:00:00+01:00,2025-09-03 02:00:00+00:00,148.867,148.905,148.711,148.844,7322,True
2025-09-03 04:00:00+01:00,2025-09-03 03:00:00+00:00,148.845,148.92,148.811,148.914,4472,True
2025-09-03 05:00:00+01:00,2025-09-03 04:00:00+00:00,148.914,148.926,148.554,148.59,7580,True
2025-09-03 06:00:00+01:00,2025-09-03 05:00:00+00:00,148.591,148.66,148.49,148.606,6815,True
2025-09-03 07:00:00+01:00,2025-09-03 06:00:00+00:00,148.606,148.682,148.512,148.616,11437,True
2025-09-03 08:00:00+01:00,2025-09-03 07:00:00+00:00,148.616,149.138,148.614,148.737,17420,True
